X,Y,OBJECTID_1,OBJECTID,F_ID,F_REMARKS,F_LATITUDE,F_LONGITUDE,DEPTH
80.207447,12.9989055,37,37,40,completely  inundated  with flood water,12.99890552,80.207447,7
80.2075221,12.99926,38,38,41,partially flooded,12.99925997,80.2075221,6.5
80.2087814,13.0025457,39,39,42,partially flooded,13.00254573,80.2087814,6
80.207727,12.9999502,40,40,43,partially flooded,12.99995025,80.20772696,6.5
80.2041982,12.9783961,41,41,44,partially  inundated one side of the road,12.97839607,80.20419817,6.5
80.2107428,12.973235,42,42,45,partially flooded one side of the road,12.97323496,80.21074276,5.5
80.2151748,12.9613758,43,43,47,partially inundated on sides of the road,12.96137578,80.21517478,7
80.2135598,12.9573618,44,44,48,partially inundated on the side of the road,12.95736183,80.21355975,6.5
80.2194656,12.9725609,45,45,49,partially inundated on the road,12.97256094,80.21946564,6
80.2195052,12.9727053,46,46,50,partially inundated on the road,12.97270535,80.21950521,6
80.2186606,12.973793,47,47,51,partially inundated on the road,12.97379299,80.21866065,6
80.2207229,12.9754798,48,48,52,partially inundated on the road,12.97547983,80.22072293,6.5
80.2207685,12.9755569,49,49,53,partially inundated on the road side,12.97555693,80.22076853,6
80.2211896,12.9761094,50,50,54,partially inundated on the road near bus stand,12.97610941,80.22118963,6
80.2212664,12.9761728,51,51,55,partially flooded on the road,12.97617279,80.22126641,5.5
80.2212299,12.9762257,52,52,56,partially inundated on sides of the road,12.97622572,80.22122987,6
80.2212393,12.9775316,53,53,57,partially inundated on the road side,12.97753159,80.22123925,6
80.2212594,12.9774976,54,54,58,partially flooded,12.97749761,80.22125937,6
80.2212108,12.978268,55,55,59,partially flooded on the road side,12.978268,80.22121076,6
80.2212004,12.9786532,56,56,60,partially inundated on the road side,12.97865319,80.22120036,6
80.2210679,12.9799613,57,57,61,flood inundated on the road,12.97996134,80.22106793,6
80.2210082,12.9802998,58,58,62,flood inundated on the road near tneb office,12.98029981,80.22100825,9
80.2209667,12.9808337,59,59,63,partially flooded,12.98083365,80.22096667,8
80.2210103,12.9809493,60,60,64,partially flooded on the road,12.98094931,80.22101026,9
80.2210542,12.9810264,61,61,65,partially flooded,12.98102641,80.22105418,9.5
80.2210827,12.9811332,62,62,66,partially flooded,12.98113324,80.22108268,7.5
80.2204192,12.9743847,63,63,67,partially flooded,12.97438468,80.22041917,6
80.2154524,12.9636665,64,64,68,partially flooded on the road near bus stop,12.9636665,80.21545239,5.5
80.2151738,12.9637452,65,65,69,partially flooded on the road side,12.96374525,80.21517377,5.5
80.1961197,12.9646794,66,66,70,completely flooded  on the road junction,12.96467937,80.1961197,6.5
80.1959859,12.9646415,67,67,71,partially flooded on the road side,12.96464147,80.19598592,5.5
80.1959135,12.9646467,68,68,72,food water completely  inundate and cause road block sometimes,12.96464669,80.1959135,17
80.1923354,12.9651521,69,69,73,partially flooded on the road side,12.96515214,80.19233543,5.7
80.1920873,12.9652191,70,70,74,partially flooded on the road side,12.96521912,80.19208733,5.5
80.2491892,12.9967772,82,82,86,partially  covered  one side of the road,12.99677716,80.24918921,7
80.2492073,12.9967043,83,83,87,partially flooded covering one side of the road,12.99670431,80.24920732,6
80.2401093,13.0068879,84,84,88,partially  flooded  covering  flyover  entry,13.00688792,80.24010926,7
80.2432156,12.9796666,85,85,89,completely flooded  and drain within 2 hours,12.97966665,80.2432156,29
80.2389006,12.9783275,86,86,90,completely flooded bocking railway  station exit upto 1 feet,12.97832746,80.23890059,17
80.2397274,12.9782033,87,87,91,completely flooded,12.97820331,80.23972739,10.5
80.2410806,12.97802,88,88,92,completely flooded upto 12,12.97802003,80.24108056,6
80.2414282,12.9780782,89,89,93,completely flooded upto10,12.97807818,80.24142824,5
80.2418735,12.9782056,90,90,94,completely flooded bocking railway station entrance  upto 2 feet,12.9782056,80.24187349,6
80.2425192,12.9784039,91,91,95,completely inundated,12.97840391,80.24251923,7
80.2430483,12.9785379,92,92,96,completely flooded bocking railway station entrance  upto 1 feet,12.97853786,80.2430483,7
80.2431747,12.9783892,93,93,97,completely flooded  upto 1.5 feet reported drain in 2 hours,12.97838921,80.24317469,20
80.2431378,12.978811,94,94,98,completely flooded  reported,12.97881099,80.24313781,20
80.240986,12.9783595,95,95,99,railway station covered by flood upto 1 feet,12.97835948,80.24098601,16
80.2440625,12.975108,96,96,100,completely flooded upto  1 feet and drain in 2 hours,12.97510803,80.24406251,9
80.2441453,12.9748591,97,97,101,completely flooded upto 1 feet,12.97485907,80.24414532,5
